Date,Close,Open,High,Low,Vol.,Change %
27/09/2023,953.32,952.4,961.51,950.07,4.32B,0.001
29/09/2023,952.69,953.32,960.73,952.69,4.47B,-0.0007
2/10/2023,957.09,952.69,961.81,952.63,2.34B,0.0046
3/10/2023,956.07,957.09,960.57,953,4.20B,-0.0011
4/10/2023,949.23,956.07,956.56,944.4,5.23B,-0.0072
5/10/2023,944.67,949.31,955.69,944.67,4.39B,-0.0048
6/10/2023,946.51,944.72,953.17,944.72,3.31B,0.0019
9/10/2023,944.58,946.51,952.99,943.52,3.11B,-0.002
10/10/2023,946.36,944.58,953.48,944.58,2.83B,0.0019
11/10/2023,944.69,946.36,951.42,944.69,6.45B,-0.0018
12/10/2023,943.45,944.72,953.48,943.45,8.94B,-0.0013
13/10/2023,939.55,943.4,948.57,936.58,10.15B,-0.0041
16/10/2023,935.06,939.58,944.07,930.69,21.02B,-0.0048
17/10/2023,932.63,935.06,937.99,930.66,6.74B,-0.0026
18/10/2023,925.42,932.63,933.69,925.35,5.46B,-0.0077
19/10/2023,910.09,925.36,925.43,910.09,5.32B,-0.0166
20/10/2023,911.89,910.09,917,904.61,6.91B,0.002
23/10/2023,899.01,911.89,913.15,896.39,5.63B,-0.0141
24/10/2023,908.97,898.98,913.8,898.72,3.35B,0.0111
25/10/2023,911.95,909,920.88,909,3.75B,0.0033
26/10/2023,889.32,911.86,912.52,888.77,6.05B,-0.0248
27/10/2023,892.92,889.32,898.74,889.19,5.55B,0.0041
30/10/2023,889.34,892.89,893.62,883.9,4.84B,-0.004
31/10/2023,892.34,889.34,893.61,879.43,8.14B,0.0034
1/11/2023,878.88,892.29,896.54,878.88,7.53B,-0.0151
2/11/2023,898.92,878.93,904.75,878.93,11.06B,0.0228
3/11/2023,904.15,898.92,913.49,898.36,13.86B,0.0058
6/11/2023,918.85,904.15,918.85,903.81,13.05B,0.0163
7/11/2023,913.43,918.85,920.16,907.3,5.91B,-0.0059
8/11/2023,906.75,913.4,913.46,899.03,4.94B,-0.0073
9/11/2023,908.03,906.75,913.42,904.5,2.73B,0.0014
10/11/2023,901.72,908.03,908.79,900.08,5.14B,-0.007
13/11/2023,901.22,901.72,907.36,900.51,10.73B,-0.0006
14/11/2023,903.91,901.16,908.73,900.35,6.50B,0.003
15/11/2023,920.12,903.97,923.03,903.97,8.46B,0.0179
16/11/2023,920.41,920.15,920.71,909.71,3.84B,0.0003
17/11/2023,917.41,920.44,920.64,911.89,4.09B,-0.0033
20/11/2023,918.68,917.41,921.19,914.08,5.81B,0.0014
21/11/2023,915.72,918.68,921.3,912.75,6.54B,-0.0032
22/11/2023,912.59,915.72,918.69,910.13,7.73B,-0.0034
23/11/2023,923.5,912.62,926.44,912.52,10.86B,0.012
24/11/2023,924.87,923.53,930.41,923.3,6.00B,0.0015
27/11/2023,924.13,924.87,933.16,924.13,3.40B,-0.0008
28/11/2023,925.39,924.13,931.71,923.52,5.00B,0.0014
29/11/2023,924.34,925.39,930.21,922.09,4.60B,-0.0011
30/11/2023,930.03,924.34,930.72,924.34,11.14B,0.0062
1/12/2023,939.71,929.89,939.71,928.54,14.91B,0.0104
4/12/2023,940.14,939.73,953.55,939.73,18.58B,0.0005
5/12/2023,940.75,940.03,943.27,931.86,19.40B,0.0006
6/12/2023,936.8,940.75,945.18,936.74,14.92B,-0.0042
7/12/2023,945.44,936.8,945.44,930.94,13.17B,0.0092
8/12/2023,950.37,945.44,956.83,941.79,15.89B,0.0052
11/12/2023,936.71,945.92,949.04,931.63,36.09B,-0.0144
12/12/2023,941.52,940.23,944.91,935.9,13.49B,0.0051
13/12/2023,932.91,938.32,940.74,928.21,7.73B,-0.0092
14/12/2023,955.64,945.67,956.64,943.95,11.04B,0.0244
15/12/2023,957.97,957.26,961.48,954.02,6.47B,0.0024
